DOB ,Birth City ,S/P ,Ctry ,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,Last Name,First Name,Team ,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,PSA,PS Sv ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Type,Status,Expiry,Salary,Cap Hit,GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,HSOW,HSOL,HSSA,HSGA,RSOW,RSOL,RSSA,RSGA,SOW,SOL,SSA,SGA,SOSV%,,GS,SA,SV,ExpSV,Gsupp,SV%,ExpSV%,DIFF,Ginj,Injury
May 05 '90,Saskatoon,SK,CAN,77,205,L,Y,2009,6,161,24,Kuemper,Darcy,MIN,26,25,12,8,4,702,642,2.43,.915,0,0,0,1480,2,1,0,57,636,1455,13,4,3,0.9177,2.35,52.0%,1,3,6,25,7.20,.667,EL,RFA,2014,"$900,000.00","$900,000.00",24.7,3.2,0.3,0,3.5,2.5,4.3,599,558,.932,13,10,.769,90,74,.822,0,2,8,6,2,0,11,0,2,2,19,6,.316,DARCY KUEMPER,25,702,642,641,2.24,0.9145,0.9132,0.0013,7,Upper body
Jan 18 '80,Burnaby,BC,CAN,75,232,L,,1998,3,66,34,LaBarbera,Jason,EDM,7,4,1,3,0,146,127,3.28,.870,0,0,0,348,0,0,0,16,84,239,0,3,0,0.84,4.02,0.0%,3,3,43,109,1.65,.935,,UFA,2014,"$1,000,000.00","$1,000,000.00",5.8,-4.6,0.3,0.6,-3.8,-5.2,0.1,113,102,.903,1,0,.000,32,25,.781,1,0,2,0,0,0,0,0,1,0,2,0,.000,JASON LABARBERA,4,146,127,133,3.15,0.8699,0.9120,-0.0422,,
Jan 05 '88,Norrtälje,,SWE,76,187,L,Y,,,,26,Lack,Eddie,VAN,41,37,16,17,5,1052,959,2.41,.912,0,0,0,2319,4,1,1,89,912,2191,21,5,2,0.9111,2.44,56.8%,4,4,47,128,1.88,.922,,UFA,2016,"$850,000.00","$750,000.00",38.7,3.1,0.9,3.4,7.4,6.8,6.1,881,811,.921,21,19,.905,150,129,.860,0,3,11,3,3,0,14,1,3,3,25,4,.160,EDDIE LACK,37,1052,959,960,2.08,0.9116,0.9126,-0.0010,,
Sep 29 '83,Calgary,AB,CAN,74,198,L,,,,,31,Lawson,Nathan,OTT,1,0,0,0,0,10,8,10.00,.800,0,0,0,12,0,0,0,,,,,,,,,,1,2,8,12,10.00,.800,,UFA,2014,"$650,000.00","$650,000.00",0.2,-0.9,0,0,-1,-1.3,-0.1,8,6,.750,0,0,,2,2,1.000,,,,,,,,,,,,,,NATHAN LAWSON,0,10,8,9,,0.8000,0.9237,-0.1237,4,Lower body
Jul 24 '91,Gothenburg,,SWE,77,225,L,,2009,2,46,23,Lehner,Robin,OTT,36,30,12,15,6,1141,1042,3.06,.913,0,0,4,1942,1,0,0,90,945,1761,19,5,3,0.913,3.07,63.3%,6,9,97,181,2.98,.915,EL,RFA,2014,"$810,000.00","$870,000.00",32.4,4.8,-2,-0.4,2.4,1.4,6.8,911,834,.915,33,30,.909,197,178,.904,1,2,8,2,3,2,22,8,4,4,30,10,.333,ROBIN LEHNER,30,1141,1042,1043,2.60,0.9132,0.9140,-0.0008,,
Nov 16 '83,Helsinki,,FIN,76,210,L,,2002,1,2,31,Lehtonen,Kari,DAL,65,64,33,20,10,1888,1735,2.41,.919,0,4,4,3804,5,1,1,151,1723,3766,37,10,5,0.9194,2.41,57.8%,1,2,12,38,3.16,.857,,UFA,2018,"$6,250,000.00","$5,900,000.00",63.4,16,0,1.6,17.6,1.6,12.6,1526,1412,.925,67,64,.955,295,259,.878,1,3,19,6,2,1,12,2,3,4,31,8,.258,KARI LEHTONEN,64,1888,1735,1725,2.94,0.9190,0.9137,0.0052,8,Lower body
Aug 08 '91,Abbotsford,BC,CAN,77,186,L,Y,2011,6,167,23,Lieuwen,Nathan,BUF,7,5,1,4,0,191,173,2.98,.906,0,0,0,363,0,0,0,16,146,302,2,0,0,0.9012,3.18,40.0%,2,2,27,61,1.97,.931,EL,RFA,2015,"$595,000.00","$588,333.00",6.1,-0.5,-0.1,0.7,0.1,0.0,1.0,169,154,.911,4,3,.750,18,16,.889,1,0,9,2,0,0,0,0,1,0,9,2,.222,NATHAN LIEUWEN,5,191,173,174,1.75,0.9058,0.9131,-0.0074,4,Concussion
May 03 '88,Gävle,,SWE,78,210,L,,2008,7,207,26,Lindback,Anders,TBL,23,18,8,12,2,580,517,2.90,.891,0,0,2,1302,1,2,1,52,431,1081,7,3,0,0.8923,2.89,38.9%,5,11,86,221,2.99,.887,,RFA,2014,"$2,200,000.00","$1,800,000.00",21.7,-8.2,0.6,1.1,-6.5,-10.3,1.9,463,422,.911,15,13,.867,102,82,.804,0,0,0,0,2,0,7,1,2,0,7,1,.143,ANDERS LINDBACK,18,580,517,530,2.53,0.8914,0.9132,-0.0218,7,Ankle
Mar 02 '82,Are,,SWE,73,188,L,,2000,7,205,32,Lundqvist,Henrik,NYR,63,62,33,24,5,1810,1666,2.36,.920,0,4,0,3655,5,4,0,143,1650,3640,37,9,3,0.9202,2.36,59.7%,1,1,16,15,4.00,.941,,UFA,2021,"$5,125,000.00","$6,875,000.00",60.9,16.3,0.3,-0.6,15.9,-3.1,12.4,1510,1399,.926,53,47,.887,247,220,.891,1,2,14,6,2,1,9,2,3,3,23,8,.348,HENRIK LUNDQVIST,62,1810,1666,1654,2.60,0.9204,0.9137,0.0068,3,"Undisclosed, Upper body"
Apr 04 '79,Montreal,QC,CAN,75,217,L,,1997,1,4,35,Luongo,Roberto,"VAN, FLA",56,56,25,23,7,1589,1460,2.40,.919,0,0,2,3222,4,5,5,129,1460,3224,32,4,5,0.9188,2.40,57.1%,,,,,,,,UFA,2022,"$6,714,000.00","$4,533,333.00",53.7,13.6,0,0.8,14.4,2.5,10.6,1321,1222,.925,34,32,.941,234,206,.880,2,2,13,4,1,3,15,4,3,5,28,8,.286,ROBERTO LUONGO,56,1589,1460,1454,2.42,0.9188,0.9150,0.0038,12,"Groin, Flu, Neck"
Feb 07 '80,Pictou,NS,CAN,72,197,L,,,,,34,MacDonald,Joey,CGY,11,9,5,4,1,264,235,2.90,.890,0,0,2,599,0,0,0,26,226,543,3,2,0,0.8968,2.87,33.3%,2,3,9,56,3.21,.750,,UFA,2014,"$925,000.00","$925,000.00",10,-4.2,0.4,0.2,-3.6,-4.7,0.8,225,202,.898,8,8,1.000,31,25,.806,0,0,0,0,1,0,4,1,1,0,4,1,.250,JOEY MACDONALD,9,264,235,242,2.95,0.8902,0.9155,-0.0253,,
Jun 24 '83,Charlottetown,PE,CAN,73,190,L,,2001,4,121,31,MacIntyre,Drew,TOR,2,1,0,1,0,51,47,2.53,.922,0,0,0,95,0,0,0,4,33,59,0,0,0,0.8919,4.07,0.0%,1,0,14,36,0.00,1.000,,UFA,2014,"$600,000.00","$600,000.00",1.6,0.5,0,0,0.5,0.4,0.4,45,42,.933,1,0,.000,5,5,1.000,,,,,,,,,,,,,,DREW MACINTYRE,1,51,47,47,2.00,0.9216,0.9214,0.0001,,
Jan 31 '90,Gävle,,SWE,78,196,L,,2008,2,31,24,Markstrom,Jacob,"FLA, VAN",16,12,2,8,3,361,315,3.39,.873,0,0,0,814,0,0,0,43,280,714,3,4,1,0.8669,3.61,25.0%,4,3,35,100,1.80,.921,,RFA,2015,"$1,000,000.00","$1,200,000.00",13.6,-10.8,0.4,-1.6,-12,-14.0,0.4,298,261,.876,10,9,.900,53,45,.849,0,2,7,4,0,0,0,0,0,2,7,4,.571,JACOB MARKSTROM,12,361,315,329,2.39,0.8726,0.9121,-0.0396,,
May 29 '88,Oakville,ON,CAN,76,217,R,,2006,3,69,26,Mason,Steve,PHI,61,60,33,18,7,1751,1606,2.50,.917,0,1,10,3486,4,1,1,144,1602,3470,35,9,7,0.9175,2.49,58.3%,1,1,4,16,3.75,.800,,UFA,2017,"$1,500,000.00","$1,500,000.00",58.1,14.3,-0.5,-0.8,13.1,10.3,11.3,1447,1336,.923,39,33,.846,265,237,.894,0,2,12,5,3,3,20,6,3,5,32,11,.344,STEVE MASON,60,1751,1606,1601,3.13,0.9172,0.9144,0.0028,1,Upper body
Jul 18 '91,Pisek,,CZE,76,187,R,Y,2012,6,179,23,Mazanec,Marek,NSH,25,22,8,10,4,650,586,2.80,.902,0,0,0,1370,2,0,0,58,520,1241,11,6,3,0.8997,2.80,50.0%,3,6,66,129,2.79,.917,EL,RFA,2015,"$610,000.00","$610,000.00",22.8,-4.3,0.3,-1.6,-5.6,-5.8,3.0,543,491,.904,17,17,1.000,90,78,.867,0,2,4,3,0,1,6,2,0,3,10,5,.500,MAREK MAZANEC,22,650,586,594,2.47,0.9015,0.9138,-0.0123,1,Illness
May 23 '83,London,ON,CAN,75,205,L,,2002,6,176,31,McElhinney,Curtis,CBJ,28,21,10,11,1,703,639,2.70,.909,0,1,0,1423,2,0,0,56,562,1218,11,3,1,0.9094,2.76,52.4%,7,8,77,205,2.34,.906,,UFA,2014,"$600,000.00","$600,000.00",23.7,0.3,0,0.5,0.9,0.8,3.8,559,511,.914,19,19,1.000,125,109,.872,0,1,2,1,1,0,3,0,1,1,5,1,.200,CURTIS MCELHINNEY,21,703,639,641,2.69,0.9090,0.9121,-0.0031,3,"Lower body, Wrist"
Apr 11 '83,St. Louis,MO,USA,74,184,R,,2002,6,172,31,McKenna,Mike,CBJ,4,3,1,1,1,114,103,3.01,.904,0,0,0,219,0,0,0,10,86,179,0,0,0,0.8958,3.35,0.0%,1,1,17,40,1.50,.944,,UFA,2014,"$595,000.00","$595,000.00",3.7,-0.5,-0.1,0,-0.5,-0.6,0.5,86,79,.919,2,2,1.000,26,22,.846,,,,,,,,,,,,,,MIKE MCKENNA,3,114,103,104,3.00,0.9035,0.9162,-0.0127,,
Jul 17 '80,East Lansing,MI,USA,74,168,L,,1999,5,138,34,Miller,Ryan,"BUF, STL",59,59,25,30,4,1885,1731,2.64,.918,0,2,0,3501,1,1,1,154,1731,3504,36,7,4,0.9183,2.64,61.0%,,,,,,,,UFA,2014,"$6,250,000.00","$5,000,000.00",58.4,15,-1.5,2.1,15.6,2.3,12.4,1532,1414,.923,42,39,.929,311,278,.894,4,1,23,4,3,2,16,6,7,3,39,10,.256,RYAN MILLER,59,1885,1731,1720,2.10,0.9183,0.9123,0.0060,1,Groin
Feb 13 '85,Chicago,IL,USA,74,203,L,,2004,1,6,29,Montoya,Al,WPG,28,22,13,8,3,737,678,2.30,.920,0,0,2,1541,2,2,2,53,602,1331,13,1,0,0.9191,2.39,59.1%,6,6,76,210,1.71,.927,,UFA,2014,"$601,000.00","$601,000.00",25.7,7.5,0.2,-1.3,6.3,6.1,5.0,628,581,.925,20,18,.900,89,79,.888,0,1,8,3,0,1,3,2,0,2,11,5,.455,AL MONTOYA,22,737,678,672,2.91,0.9199,0.9116,0.0083,7,Lower body
Feb 14 '92,Ostrava,,CZE,73,184,L,Y,2010,5,141,22,Mrazek,Petr,DET,9,6,2,4,0,178,165,1.74,.927,0,0,0,449,2,0,0,10,132,358,4,1,0,0.9296,1.68,66.7%,3,3,33,91,1.98,.917,EL,RFA,2015,"$630,000.00","$790,000.00",7.5,3,0.4,0,3.4,2.7,1.4,151,138,.914,7,7,1.000,20,20,1.000,,,,,,,,,,,,,,PETR MRAZEK,6,178,165,162,1.50,0.9270,0.9077,0.0192,,
Jul 25 '75,Kamenogorsk,,KAZ,72,202,L,,1994,9,219,39,Nabokov,Evgeni,NYI,40,39,15,14,8,1085,982,2.74,.905,0,1,4,2254,4,0,0,103,981,2243,17,8,3,0.905,2.76,43.6%,1,0,1,11,0.00,1.000,,UFA,2014,"$3,250,000.00","$3,250,000.00",37.6,-3.3,0.3,-1.6,-4.7,-12.8,5.4,914,836,.915,24,23,.958,147,123,.837,0,4,10,7,2,1,22,5,2,5,32,12,.375,EVGENI NABOKOV,39,1085,982,992,2.92,0.9051,0.9141,-0.0090,21,"Groin, Jaw"
Mar 23 '88,Ústí nad Labem,,CZE,73,209,L,,2006,2,34,26,Neuvirth,Michal,"WSH, BUF",15,13,4,8,2,517,476,2.78,.921,0,1,0,884,0,2,2,38,432,789,9,2,0,0.9191,2.89,69.2%,2,3,44,95,1.89,.936,,UFA,2015,"$2,400,000.00","$2,500,000.00",14.8,5,-0.8,0.1,4.3,-1.6,3.6,363,335,.923,16,15,.938,138,126,.913,2,0,4,1,0,2,9,3,2,2,13,4,.308,MICHAL NEUVIRTH,13,517,476,473,2.16,0.9207,0.9156,0.0051,21,"Leg, Lower body"
Aug 29 '83,Vantaa,,FIN,74,210,L,,,,,31,Niemi,Antti,SJS,64,64,39,17,7,1705,1556,2.39,.913,0,2,0,3740,4,1,0,149,1556,3743,37,9,6,0.9126,2.39,57.8%,,,,,,,,UFA,2015,"$4,000,000.00","$3,800,000.00",62.3,4,1.6,-0.4,5.2,-4.6,10.1,1439,1322,.919,50,48,.960,216,186,.861,4,4,31,12,3,2,15,3,7,6,46,15,.326,ANTTI NIEMI,64,1705,1556,1558,3.03,0.9126,0.9137,-0.0011,,
Mar 19 '90,Lulea,,SWE,77,227,L,Y,2009,3,62,24,Nilsson,Anders,NYI,19,17,8,7,2,548,491,3.11,.896,0,0,2,1101,0,0,0,55,464,1048,6,4,0,0.894,3.15,35.3%,2,2,27,53,2.26,.931,EL,RFA,2014,"$900,000.00","$1,750,000.00",18.4,-5.9,0,0.4,-5.6,-9.2,2.1,426,390,.915,18,14,.778,104,87,.837,2,0,6,2,2,0,5,1,4,0,11,3,.273,ANDERS NILSSON,17,548,491,501,2.33,0.8960,0.9151,-0.0192,,
Feb 16 '84,Malmö,,SWE,75,190,R,,,,,30,Nilstorp,Cristopher,DAL,1,0,0,0,0,17,14,4.62,.824,0,0,0,39,0,0,0,,,,,,,,,,1,3,14,39,4.62,.824,,UFA,2014,"$725,000.00","$725,000.00",0.7,-1.2,0,0,-1.2,-1.7,-0.1,12,10,.833,0,0,,5,4,.800,,,,,,,,,,,,,,CRISTOPHER NILSTORP,0,17,14,16,,0.8235,0.9159,-0.0923,,
Apr 16 '91,Turku,,FIN,73,185,L,Y,2009,6,171,23,Ortio,Joni,CGY,9,9,4,4,0,193,172,2.51,.891,0,2,0,501,0,0,0,21,172,501,4,1,1,0.8912,2.51,44.4%,,,,,,,EL,RFA,2014,"$630,000.00","$812,500.00",8.4,-2.8,0.6,0,-2.2,-3.0,0.6,165,145,.879,7,7,1.000,21,20,.952,,,,,,,,,,,,,,JONI ORTIO,9,193,172,177,3.11,0.8912,0.9192,-0.0280,,
Aug 31 '87,Kladno,,CZE,75,220,L,,2005,2,41,27,Pavelec,Ondrej,WPG,57,57,22,26,7,1644,1481,3.01,.901,0,3,0,3248,1,1,0,163,1481,3251,27,12,6,0.9009,3.01,47.4%,,,,,,,,UFA,2017,"$3,500,000.00","$3,900,000.00",54.1,-10.2,-0.5,-0.3,-11,-21.1,7.4,1338,1215,.908,32,28,.875,274,238,.869,4,4,34,13,3,0,9,1,7,4,43,14,.326,ONDREJ PAVELEC,57,1644,1481,1502,2.67,0.9009,0.9137,-0.0128,6,Lower body
Aug 30 '86,Blyth,ON,CAN,73,210,L,,2004,2,38,28,Peters,Justin,CAR,21,20,7,9,4,626,575,2.50,.919,0,2,4,1225,1,0,0,49,556,1170,12,3,1,0.919,2.51,60.0%,1,2,19,55,2.18,.905,,UFA,2014,"$550,000.00","$537,500.00",20.4,4.7,-0.1,-1.8,2.7,2.7,4.1,518,477,.921,10,10,1.000,98,88,.898,1,1,6,4,0,0,0,0,1,1,6,4,.667,JUSTIN PETERS,20,626,575,570,2.12,0.9185,0.9105,0.0080,,
Apr 12 '90,Montreal,QC,CAN,74,192,L,,2008,5,126,24,Poulin,Kevin,NYI,28,26,11,16,1,820,731,3.29,.891,0,0,0,1625,0,0,0,84,699,1518,9,8,2,0.8927,3.32,34.6%,2,5,32,107,2.80,.865,,RFA,2014,"$577,500.00","$577,500.00",27.1,-12.1,-0.2,1,-11.3,-11.4,2.8,701,631,.900,9,7,.778,110,93,.845,1,1,6,2,2,0,7,1,3,1,13,3,.231,KEVIN POULIN,26,820,731,748,2.59,0.8915,0.9127,-0.0213,,
Aug 16 '87,Anahim Lake,BC,CAN,75,212,L,,2005,1,5,27,Price,Carey,MTL,59,59,34,20,5,1828,1694,2.32,.927,0,2,4,3464,6,2,1,134,1694,3464,38,7,3,0.9267,2.32,64.4%,,,,,,,,UFA,2018,"$5,750,000.00","$6,500,000.00",57.7,28,-1.2,0.2,27,9.2,13.9,1479,1381,.934,54,49,.907,295,264,.895,0,2,4,2,1,0,3,0,1,2,7,2,.286,CAREY PRICE,59,1828,1694,1672,2.65,0.9267,0.9145,0.0122,8,Lower body
Jan 21 '86,Milford,CT,USA,73,220,L,,2005,3,72,28,Quick,Jonathan,LAK,49,49,27,17,4,1183,1083,2.07,.915,0,2,2,2904,6,1,0,100,1083,2905,28,6,3,0.9155,2.07,57.1%,,,,,,,,UFA,2023,"$7,000,000.00","$5,800,000.00",48.4,8.7,2.3,2.5,13.5,-2.3,7.4,928,862,.929,38,34,.895,217,187,.862,2,2,14,4,4,2,17,3,6,4,31,7,.226,JONATHAN QUICK,49,1183,1083,1082,2.48,0.9155,0.9145,0.0009,24,Groin
May 12 '89,Rauma,,FIN,72,187,L,Y,,,,25,Raanta,Antti,CHI,25,22,13,5,4,610,547,2.71,.897,0,1,0,1397,1,1,1,59,497,1285,13,6,2,0.8939,2.75,59.1%,3,4,50,112,2.14,.926,EL,RFA,2014,"$925,000.00","$1,400,000.00",23.3,-6.2,0.8,-2,-7.3,-9.9,2.4,472,423,.896,20,18,.900,118,106,.898,0,2,10,4,0,1,5,3,0,3,15,7,.467,ANTTI RAANTA,22,610,547,557,3.73,0.8967,0.9129,-0.0161,,
Jul 01 '86,Asikkala,,FIN,74,206,L,,2004,6,191,28,Ramo,Karri,CGY,40,37,17,15,4,1091,994,2.65,.911,0,1,10,2194,2,2,2,94,969,2135,18,5,3,0.9116,2.64,48.6%,3,3,25,59,3.05,.893,,UFA,2015,"$2,600,000.00","$2,750,000.00",36.6,1.3,0.1,-2.1,-0.7,-7.3,6.2,913,839,.919,22,19,.864,156,136,.872,2,0,7,1,0,3,14,8,2,3,21,9,.429,KARRI RAMO,37,1091,994,999,2.72,0.9111,0.9153,-0.0042,15,Knee
Mar 10 '87,Savonlinna,,FIN,74,185,L,,2005,1,21,27,Rask,Tuukka,BOS,58,58,36,15,6,1641,1526,2.04,.930,0,2,2,3386,7,2,1,115,1526,3388,40,8,4,0.9299,2.04,69.0%,,,,,,,,UFA,2021,"$6,000,000.00","$7,000,000.00",56.4,29.2,0.4,1.3,30.9,11.6,13.1,1359,1279,.941,31,28,.903,251,219,.873,1,3,15,5,2,2,18,4,3,5,33,9,.273,TUUKKA RASK,58,1641,1526,1500,2.97,0.9299,0.9140,0.0159,,
Mar 15 '88,Morweena,MB,CAN,74,208,L,,2006,4,99,26,Reimer,James,TOR,36,32,12,16,1,1095,997,3.29,.911,0,0,2,1785,1,1,1,91,929,1675,15,8,7,0.9108,3.26,46.9%,4,7,68,110,3.82,.907,,RFA,2014,"$1,600,000.00","$1,800,000.00",29.8,1.5,-2,0.4,-0.1,-3.9,6.3,904,834,.923,27,25,.926,164,138,.841,3,0,9,3,1,0,2,0,4,0,11,3,.273,JAMES REIMER,32,1095,997,1003,2.44,0.9105,0.9159,-0.0054,,
Nov 03 '82,Kempele,,FIN,77,204,L,,2004,8,258,32,Rinne,Pekka,NSH,24,24,10,10,3,645,582,2.77,.902,0,0,0,1367,2,2,2,63,582,1368,13,8,3,0.9023,2.76,54.2%,,,,,,,,UFA,2019,"$7,000,000.00","$7,000,000.00",22.8,-3.8,0.4,-1.6,-5.1,-24.5,3.0,544,490,.901,11,11,1.000,90,81,.900,0,2,6,3,0,1,4,2,0,3,10,5,.500,PEKKA RINNE,24,645,582,588,2.38,0.9023,0.9109,-0.0086,51,Hip
Mar 18 '86,Marblehead,MA,USA,74,200,L,,2004,1,26,28,Schneider,Cory,NJD,45,43,16,15,12,1107,1019,1.97,.921,0,0,4,2680,3,2,1,87,1002,2627,28,4,0,0.9201,1.99,65.1%,2,1,17,53,1.13,.944,,UFA,2015,"$4,000,000.00","$4,000,000.00",44.7,11.8,2.1,-3.4,10.5,0.2,7.6,888,815,.918,33,33,1.000,186,171,.919,0,2,5,3,0,6,24,10,0,8,29,13,.448,CORY SCHNEIDER,43,1107,1019,1012,1.91,0.9205,0.9146,0.0059,3,Lower body
Sep 11 '86,Spruce Grove,AB,CAN,74,193,L,,,,,28,Scrivens,Ben,"LAK, EDM",40,35,16,16,4,1205,1111,2.55,.922,0,1,6,2210,4,0,0,86,1079,2112,23,3,0,0.9262,2.44,65.7%,5,8,32,98,4.90,.800,,UFA,2016,"$625,000.00","$550,000.00",36.9,13.5,-1.1,-1.1,11.3,11.3,8.5,965,895,.927,37,32,.865,203,184,.906,0,0,0,0,1,2,15,6,1,2,15,6,.400,BEN SCRIVENS,35,1205,1111,1103,2.09,0.9220,0.9157,0.0063,,
Mar 26 '92,Edmonton,AB,CAN,74,198,L,Y,2010,2,58,22,Simpson,Kent,CHI,1,0,0,0,0,7,5,6.00,.714,0,0,0,20,0,0,0,,,,,,,,,,1,2,5,20,6.00,.714,EL,RFA,2015,"$640,000.00","$916,667.00",0.3,-1.1,0,0,-1.1,-2.2,-0.1,7,5,.714,0,0,,0,0,,,,,,,,,,,,,,,KENT SIMPSON,0,7,5,6,,0.7143,0.9063,-0.1920,,
Mar 22 '82,Kingston,ON,CAN,76,215,L,,2001,5,161,32,Smith,Mike,PHX,62,61,27,21,10,1871,1712,2.64,.915,1,3,14,3610,3,1,1,158,1706,3585,35,5,5,0.9152,2.64,57.4%,1,1,6,25,2.40,.857,,UFA,2019,"$4,000,000.00","$5,666,667.00",60.2,9.7,-0.9,-2.6,6.2,-9.2,11.6,1492,1380,.925,37,36,.973,342,296,.865,2,1,10,3,2,4,25,11,4,5,35,14,.400,MIKE SMITH,61,1871,1712,1710,2.69,0.9150,0.9142,0.0008,10,Lower body
Jul 28 '87,St. Paul,MN,USA,72,190,L,,2005,4,112,27,Stalock,Alex,SJS,24,18,12,5,2,571,532,1.87,.932,0,0,2,1252,2,0,0,34,487,1102,13,1,0,0.9347,1.85,72.2%,6,5,45,150,2.00,.900,,RFA,2014,"$625,000.00","$625,000.00",20.9,10.5,0.5,2.7,13.8,13.6,4.7,500,467,.934,21,18,.857,50,47,.940,1,0,5,0,2,1,8,1,3,1,13,1,.077,ALEX STALOCK,18,571,532,522,2.83,0.9317,0.9137,0.0180,,
Sep 04 '89,Sollentuna,,SWE,72,176,R,Y,,,,25,Svedberg,Niklas,BOS,1,1,1,0,0,35,33,1.97,.943,0,0,0,61,0,0,0,2,33,61,1,0,0,0.9429,1.97,100.0%,,,,,,,EL,RFA,2014,"$925,000.00","$1,000,000.00",1,1,0,0,0.9,-0.5,0.3,32,30,.938,1,1,1.000,2,2,1.000,,,,,,,,,,,,,,NIKLAS SVEDBERG,1,35,33,32,2.95,0.9429,0.9125,0.0304,,
Jul 05 '87,Caledonia,ON,CAN,75,205,L,,,,,27,Talbot,Cam,NYR,21,19,12,6,1,560,527,1.64,.941,0,0,0,1211,3,1,0,31,512,1144,16,0,0,0.9429,1.63,84.2%,2,2,15,67,1.79,.882,,UFA,2015,"$550,000.00","$562,500.00",20.2,14.9,0.5,0,15.4,15.4,5.2,465,437,.940,15,14,.933,80,76,.950,1,0,3,1,0,0,0,0,1,0,3,1,.333,CAM TALBOT,19,560,527,511,2.72,0.9411,0.9130,0.0280,,
Apr 15 '74,Flint,MI,USA,71,201,L,,1994,9,217,40,Thomas,Tim,"FLA, DAL",48,46,18,24,4,1390,1262,2.88,.908,0,1,4,2663,0,1,0,127,1241,2623,26,7,5,0.9072,2.91,56.5%,2,1,21,40,1.50,.955,,UFA,2014,"$2,500,000.00","$3,750,000.00",44.4,-1.5,-0.7,2.2,0,-9.6,7.4,1132,1033,.913,35,33,.943,223,196,.879,3,2,18,5,3,1,15,3,6,3,33,8,.242,TIM THOMAS,46,1390,1262,1270,2.30,0.9079,0.9137,-0.0058,16,"Groin, Lower body, Illness"
Sep 16 '89,Humboldt,SK,CAN,71,195,L,Y,2008,5,122,25,Tokarski,Dustin,MTL,3,2,2,0,0,93,88,1.84,.946,0,0,0,163,1,0,0,3,68,125,2,0,0,0.9577,1.44,100.0%,1,2,20,38,3.16,.909,,RFA,2014,"$575,000.00","$575,000.00",2.7,2.9,-0.1,-0.1,2.7,2.6,0.9,71,67,.944,4,4,1.000,18,17,.944,0,0,0,0,1,0,6,2,1,0,6,2,.333,DUSTIN TOKARSKI,2,93,88,85,2.85,0.9462,0.9147,0.0315,,
Apr 27 '88,Samara,,RUS,74,209,L,,2006,1,23,26,Varlamov,Semyon,COL,63,60,41,14,6,2013,1867,2.41,.927,0,3,2,3640,2,1,1,142,1841,3591,44,4,2,0.9284,2.37,73.3%,3,4,26,49,4.90,.867,,UFA,2019,"$3,000,000.00","$2,833,333.00",60.7,30,-1.9,0.2,28.3,21.5,15.5,1667,1555,.933,40,39,.975,306,273,.892,3,2,12,3,2,2,11,4,5,4,23,7,.304,SEMYON VARLAMOV,60,2013,1867,1840,3.08,0.9275,0.9141,0.0134,,
Aug 07 '92,Hamilton,ON,CAN,74,195,L,Y,2010,1,27,22,Visentin,Mark,PHX,1,1,0,1,0,32,29,3.05,.906,0,0,0,59,0,0,0,3,29,59,0,0,0,0.9063,3.05,0.0%,,,,,,,EL,RFA,2015,"$900,000.00","$870,000.00",1,-0.1,0,0,-0.1,-1.1,0.2,26,24,.923,0,0,,6,5,.833,,,,,,,,,,,,,,MARK VISENTIN,1,32,29,29,2.00,0.9063,0.9184,-0.0122,,
Feb 29 '84,Saskatoon,SK,CAN,73,185,L,,2002,1,25,30,Ward,Cam,CAR,30,28,10,12,6,824,740,3.06,.898,0,1,2,1645,0,1,0,80,723,1590,11,6,2,0.9004,3.02,39.3%,2,4,17,55,4.36,.810,,UFA,2016,"$6,600,000.00","$6,300,000.00",27.4,-8,0,-0.4,-8.4,-25.7,3.4,693,630,.909,18,16,.889,113,94,.832,0,2,5,2,0,1,3,1,0,3,8,3,.375,CAM WARD,28,824,740,753,2.54,0.8981,0.9141,-0.0161,23,Lower body
Jun 09 '87,Detroit,MI,USA,74,179,L,,2006,3,74,27,Zatkoff,Jeff,PIT,20,18,12,6,2,582,531,2.61,.912,0,1,0,1171,1,0,0,48,501,1084,10,3,0,0.9126,2.66,55.6%,2,3,30,87,2.07,.909,,UFA,2016,"$550,000.00","$537,500.00",19.5,1.6,0,-0.6,0.9,0.9,3.4,443,406,.916,14,12,.857,125,113,.904,1,1,4,2,0,0,0,0,1,1,4,2,.500,JEFF ZATKOFF,18,582,531,533,3.54,0.9124,0.9164,-0.0040,,
