DOB ,Birth City ,S/P ,Ctry ,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,First Name,Last Name,End Tm,All Tm,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,PSA,PS Sv ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Cap Hit,Days,Actual,GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,GAR,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,OTGP,OTSA,OTGA,OTSV%,HSOW,HSOL,HSSA,HSGA,RSOW,RSOL,RSSA,RSGA,SOW,SOL,SSA,SGA,SOSV%,LowS,LowG,MedS,MedG,HighS,HighG,AdjSV%,QoC,Gsupp,ExpSV%,Ginj,Injury,CHIP
May 03 '88,Gävle,,SWE,78,215,L,,2008,7,207,26,Anders,Lindback,BUF,"DAL, BUF",26,22,6,16,2,798,725,3.11,.909,0,1,4,1408.0,0,1,1,66,655,1277,9,3,1,.908,3.10,40.9%,4,7,70,131,3.21,.909,1.85,176,0.875,23.5,-1.0,-1.0,0.4,-1.6,-2.4,4.2,-8.1,676,618,.914,105,92,.876,17,15,.882,4,22,0,1.000,0,1,2,1,2,1,13,3,2,2,15,4,.733,344,12,219,16,162,45,.914,8.48%,2.27,-.007,,,
Mar 02 '82,Are,,SWE,73,188,L,,2000,7,205,32,Henrik,Lundqvist,NYR,NYR,46,46,30,13,3,1329,1226,2.25,.922,0,1,0,2742.6,5,1,1,103,1226,2745,30,4,2,.922,2.25,65.2%,0,0,0,0,0.00,.000,8.5,186,8.5,45.7,14.1,0.3,-0.8,13.6,-3.3,9.2,0.4,1120,1045,.933,174,149,.856,35,32,.914,10,18,0,1.000,1,2,10,4,1,1,7,2,2,3,17,6,.647,652,24,309,25,264,54,.923,8.55%,3.17,.008,24,Throat,2488
Apr 04 '79,Montreal,QC,CAN,75,217,L,,1997,1,4,35,Roberto,Luongo,FLA,FLA,61,61,28,19,12,1743,1605,2.35,.921,0,0,0,3528.2,2,2,2,138,1605,3528,36,9,7,.921,2.35,59.0%,0,0,0,0,0.00,.000,4.533,186,4.533,58.8,16.5,-0.2,1.3,17.7,9.2,11.8,3.4,1418,1322,.932,287,248,.864,38,35,.921,20,45,4,.911,3,6,52,15,4,2,23,6,7,8,75,21,.720,858,30,403,40,340,68,.921,8.43%,2.41,.005,7,"Shoulder, Upper body",332
Apr 20 '93,Kazan,,RUS,73,178,L,Y,,,,21,Andrey,Makarov,BUF,BUF,1,1,0,1,0,36,33,3.00,.917,0,0,0,60.0,0,0,0,3,33,60,1,0,0,.917,3.00,100.0%,0,0,0,0,0.00,.000,0.578,9,0.028,1,0.2,-0.1,0.0,0.1,0.1,0.2,,33,31,.939,2,1,.500,1,1,1.000,0,0,0,,,,,,,,,,,,,,,13,0,8,2,12,1,.934,8.54%,0.00,.002,,,
Jan 31 '90,Gävle,,SWE,78,196,L,,2008,2,31,25,Jacob,Markstrom,VAN,VAN,3,2,1,1,0,33,29,3.09,.879,0,0,0,77.6,0,0,0,4,27,68,1,1,1,.871,3.53,50.0%,1,0,2,10,0.00,1.000,2.4,186,0.488,1.3,-0.8,0.1,0.0,-0.8,-0.7,0.1,-1.3,33,29,.879,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,16,0,5,0,8,4,.919,7.04%,2.50,-.051,,,
May 29 '88,Oakville,ON,CAN,76,217,R,,2006,3,69,26,Steve,Mason,PHI,PHI,51,48,18,18,11,1490,1382,2.25,.928,0,3,2,2885.4,3,0,0,104,1346,2754,29,4,5,.928,2.27,60.4%,3,4,36,131,1.83,.900,4.1,186,4.1,48.1,22.9,-0.8,-3.5,18.6,11.0,11.3,13.8,1235,1161,.940,207,175,.845,48,46,.958,15,38,4,.895,2,4,30,9,0,3,7,6,2,7,37,15,.595,702,18,335,22,345,68,.933,8.49%,2.46,.012,18,"Back, Knee",200
Jul 18 '91,Pisek,,CZE,76,187,R,Y,2012,6,179,23,Marek,Mazanec,NSH,NSH,2,1,0,1,0,47,43,2.27,.915,0,0,0,105.7,0,0,0,2,25,59,1,0,0,.926,2.03,100.0%,1,2,18,47,2.55,.900,0.61,15,0.049,1.8,0.2,0.1,0.0,0.3,0.3,0.3,0.0,38,36,.947,9,7,.778,0,0,,0,0,0,,,,,,,,,,,,,,,19,1,16,0,8,3,.908,8.97%,0.00,.005,,,
Dec 07 '89,Amherst,NY,USA,74,226,L,Y,2008,1,30,25,Tom,McCollum,DET,DET,2,0,1,0,0,25,24,0.91,.960,0,0,0,65.9,0,0,0,,,,,,,.000,0.00,0.0%,2,1,24,66,0.91,.960,0.6,36,0.116,1.1,1.1,0.1,0.0,1.2,1.2,0.3,1.5,25,24,.960,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,9,0,5,0,10,1,.978,9.36%,,.054,,,
May 23 '83,London,ON,CAN,75,205,L,,2002,6,176,31,Curtis,McElhinney,CBJ,CBJ,32,28,12,14,2,949,867,2.88,.914,0,0,0,1710.0,0,1,1,78,824,1614,13,2,2,.914,2.90,46.4%,4,4,43,96,2.50,.915,0.65,186,0.65,28.5,3.9,-1.2,-0.9,1.9,1.7,5.6,-0.5,767,703,.917,173,156,.902,9,8,.889,5,18,1,.944,0,0,0,0,2,1,10,4,2,1,10,4,.600,431,12,213,19,223,51,.921,8.49%,2.82,-.002,2,Head,16
Apr 11 '83,St. Louis,MO,USA,74,190,R,,2002,6,172,31,Mike,McKenna,ARI,ARI,1,1,0,1,0,34,29,5.00,.853,0,0,0,60.0,0,0,0,5,29,60,0,0,0,.853,5.00,0.0%,0,0,0,0,0.00,.000,0.55,27,0.08,1,-1.6,0.0,0.0,-1.7,-1.7,0,-1.9,29,25,.862,5,4,.800,0,0,,0,0,0,,,,,,,,,,,,,,,15,1,7,0,7,4,.880,8.90%,2.00,-.058,,,
Jul 17 '80,East Lansing,MI,USA,74,168,L,,1999,5,138,34,Ryan,Miller,VAN,VAN,45,45,29,15,1,1198,1091,2.53,.911,0,0,0,2541.5,6,3,2,107,1091,2541,25,8,5,.911,2.53,55.6%,0,0,0,0,0.00,.000,6,186,6,42.4,1.9,0.5,1.3,3.7,-7.9,6.6,-1.5,1008,920,.913,165,147,.891,25,24,.960,7,9,1,.889,1,0,3,0,1,0,2,0,2,0,5,0,1.000,513,21,282,38,297,48,.918,8.43%,3.13,-.005,21,Knee,1537
Feb 13 '85,Chicago,IL,USA,74,203,L,,2004,1,6,29,Al,Montoya,FLA,FLA,20,13,6,7,2,453,404,3.01,.892,0,0,2,976.9,0,1,1,40,334,782,7,3,0,.893,3.07,53.8%,7,9,70,195,2.77,.886,1.05,186,1.05,16.3,-6.7,0.2,-1.9,-8.3,-9.4,1.5,-11.7,382,342,.895,58,51,.879,13,11,.846,2,3,1,.667,0,0,0,0,0,1,3,3,0,1,3,3,.000,201,9,103,16,100,24,.899,8.86%,2.92,-.020,16,Groin,205
Feb 14 '92,Ostrava,,CZE,74,183,L,Y,2010,5,141,22,Petr,Mrazek,DET,DET,29,26,16,9,2,768,705,2.38,.918,0,0,0,1585.0,3,1,1,58,654,1452,15,6,4,.919,2.40,57.7%,3,5,51,133,2.26,.911,0.79,134,0.569,26.4,6.3,0.0,-0.5,5.8,5.4,4.9,-0.6,589,548,.930,160,141,.881,19,16,.842,5,10,0,1.000,1,2,15,6,1,0,3,0,2,2,18,6,.667,334,11,210,19,160,33,.922,8.34%,3.15,.001,,,
Jul 25 '75,Kamenogorsk,,KAZ,72,202,L,,1994,9,219,39,Evgeni,Nabokov,TBL,TBL,11,9,3,6,2,245,216,3.14,.882,0,1,2,553.4,0,0,0,24,182,471,5,2,2,.883,3.06,55.6%,2,5,34,82,3.66,.872,4.45,186,1.513,9.2,-5.6,0.3,-1.3,-6.7,-8.7,0.5,-5.1,192,173,.901,51,42,.824,2,1,.500,3,6,0,1.000,0,0,0,0,0,2,5,3,0,2,5,3,.400,92,4,57,8,67,17,.900,8.36%,2.44,-.035,,,
Mar 23 '88,Ústí nad Labem,,CZE,73,209,L,,2006,2,34,26,Michal,Neuvirth,NYI,"BUF, NYI",32,32,7,20,4,1067,975,2.98,.914,0,0,0,1849.8,0,2,1,92,975,1850,15,4,2,.914,2.98,46.9%,0,0,0,0,0.00,.000,5,186,2.5,30.9,3.2,-1.5,-3.2,-1.5,-5.6,6.3,1.5,879,814,.926,164,141,.860,24,20,.833,7,20,0,1.000,1,2,10,5,1,2,8,4,2,4,18,9,.500,451,13,282,29,242,50,.922,8.53%,2.06,-.001,5,Lower body,30
Aug 29 '83,Vantaa,,FIN,74,210,L,,,,,31,Antti,Niemi,SJS,SJS,61,61,31,23,7,1811,1656,2.59,.914,0,3,0,3587.9,5,0,0,155,1656,3588,32,9,3,.914,2.59,52.5%,0,0,0,0,0.00,.000,3.8,186,3.8,59.8,6.0,-0.2,2.2,8.1,1.2,10.8,-1.4,1499,1382,.922,256,221,.863,56,53,.946,11,28,3,.893,1,3,27,6,2,1,8,2,3,4,35,8,.771,812,27,418,31,426,97,.922,8.52%,2.95,.000,,,
Apr 16 '91,Turku,,FIN,73,185,L,Y,2009,6,171,23,Joni,Ortio,CGY,CGY,6,6,4,2,0,153,139,2.52,.908,0,0,0,333.3,1,0,0,14,139,333,3,2,1,.908,2.52,50.0%,0,0,0,0,0.00,.000,0.6,17,0.055,5.6,-0.3,0.2,0.0,-0.2,-0.2,0.8,1.7,133,120,.902,18,17,.944,2,2,1.000,2,1,0,1.000,,,,,,,,,,,,,,66,5,34,3,38,6,.911,8.20%,2.50,-.009,,,
Aug 31 '87,Kladno,,CZE,75,218,L,,2005,2,41,27,Ondrej,Pavelec,WPG,WPG,50,46,22,16,8,1353,1245,2.28,.920,0,0,2,2837.9,5,0,0,106,1202,2736,23,5,2,.919,2.32,50.0%,4,2,43,102,1.18,.956,3.9,186,3.9,47.3,14.4,0.1,-2.4,12.1,5.0,9,12.6,1048,971,.927,264,233,.883,41,41,1.000,15,32,3,.906,2,1,8,3,2,4,23,9,4,5,31,12,.613,554,16,358,25,333,67,.929,8.56%,2.50,.006,,,
Aug 30 '86,Blyth,ON,CAN,73,210,L,,2004,2,38,28,Justin,Peters,WSH,WSH,12,9,3,6,1,294,259,3.25,.881,0,0,0,647.0,0,0,0,29,215,485,1,2,0,.881,3.59,11.1%,3,6,44,162,2.22,.880,0.95,186,0.95,10.8,-6.9,0.2,-0.7,-7.4,-8.3,0.6,-8.0,240,214,.892,49,40,.816,5,5,1.000,3,4,0,1.000,1,1,4,2,0,0,0,0,1,1,4,2,.500,124,4,62,9,73,22,.898,8.41%,3.25,-.035,2,Lower body,23
Apr 15 '92,Moncton,NB,CAN,73,200,L,Y,2010,2,49,22,Calvin,Pickard,COL,COL,16,13,6,7,3,511,476,2.35,.932,0,0,0,895.1,0,0,0,31,411,743,9,1,1,.930,2.50,69.2%,3,4,65,152,1.58,.942,0.87,62,0.29,14.9,9.1,-0.6,-0.1,8.3,8.1,4.1,8.1,419,396,.945,80,68,.850,12,12,1.000,6,16,2,.875,1,0,2,0,1,1,11,4,2,1,13,4,.692,231,8,121,8,124,19,.936,8.17%,2.38,.013,,,
Apr 12 '90,Montreal,QC,CAN,74,199,L,,2008,5,126,24,Kevin,Poulin,NYI,NYI,1,1,0,0,1,26,23,2.77,.885,0,0,0,65.0,0,0,0,3,23,65,0,0,0,.885,2.77,0.0%,0,0,0,0,0.00,.000,0.65,5,0.017,1.1,-0.5,0.1,-0.1,-0.6,-0.6,0.1,-0.4,22,20,.909,3,3,1.000,1,0,.000,1,3,0,1.000,0,0,0,0,0,1,3,1,0,1,3,1,.667,9,0,6,1,8,2,.918,7.53%,3.00,-.040,,,
Aug 16 '87,Anahim Lake,BC,CAN,75,216,L,,2005,1,5,27,Carey,Price,MTL,MTL,66,66,44,16,6,1953,1823,1.96,.933,0,1,4,3976.6,9,0,0,130,1823,3977,43,6,1,.933,1.96,65.2%,0,0,0,0,0.00,.000,6.5,186,6.5,66.3,39.7,-0.1,2.3,42.0,29.3,16.2,36.5,1624,1530,.942,277,244,.881,52,49,.942,16,28,4,.857,1,2,13,4,3,0,9,0,4,2,22,4,.818,895,22,475,29,452,79,.938,8.63%,2.79,.020,1,Upper body,79
Jan 21 '86,Milford,CT,USA,73,220,L,,2005,3,72,29,Jonathan,Quick,LAK,LAK,72,71,36,22,13,1896,1740,2.24,.918,0,1,18,4184.3,6,0,0,154,1735,4177,42,9,4,.918,2.21,59.2%,1,2,5,7,17.14,.714,5.8,186,5.8,69.7,13.1,1.7,-2.5,12.3,1.1,12.1,1.1,1572,1455,.926,269,231,.859,55,54,.982,17,43,6,.860,2,3,15,6,0,4,12,5,2,7,27,11,.593,844,23,476,41,420,92,.924,8.54%,2.73,.003,,,
May 12 '89,Rauma,,FIN,72,193,L,Y,,,,25,Antti,Raanta,CHI,CHI,14,12,7,4,1,389,364,1.89,.936,0,0,0,792.2,2,1,0,22,339,722,8,1,0,.939,1.83,66.7%,2,3,25,70,2.57,.893,0.75,136,0.548,13.2,8.2,0.1,-1.0,7.3,7.0,3.3,9.6,322,302,.938,62,57,.919,5,5,1.000,1,1,0,1.000,0,1,3,2,0,0,0,0,0,1,3,2,.333,186,6,74,6,104,13,.939,8.32%,3.08,.019,,,
Jul 01 '86,Asikkala,,FIN,74,206,L,,2004,6,191,28,Karri,Ramo,CGY,CGY,34,32,15,9,3,852,777,2.60,.912,0,0,0,1731.8,2,0,0,75,766,1708,15,6,7,.911,2.63,46.9%,2,0,11,24,0.00,1.000,2.75,186,2.75,28.9,0.4,0.2,1.9,2.5,-2.2,4.8,-1.1,739,677,.916,96,85,.885,17,15,.882,10,15,2,.867,1,1,6,2,2,0,11,1,3,1,17,3,.824,349,11,210,19,218,45,.923,8.50%,3.06,-.003,8,"Leg, Upper body",67
Mar 10 '87,Savonlinna,,FIN,74,185,L,,2005,1,21,27,Tuukka,Rask,BOS,BOS,70,67,34,21,13,2011,1855,2.30,.922,0,0,8,4063.0,3,1,1,150,1816,3966,42,8,4,.924,2.27,62.7%,3,6,39,97,3.71,.867,7,186,7,67.7,21.5,-0.2,2.4,23.7,10.0,14,7.9,1692,1573,.930,273,238,.872,46,44,.957,22,38,4,.895,2,3,21,6,1,6,28,6,3,9,49,12,.755,908,29,542,34,405,93,.925,8.55%,2.64,.008,2,Illness,85
Mar 15 '88,Morweena,MB,CAN,74,208,L,,2006,4,99,26,James,Reimer,TOR,TOR,35,27,9,16,1,1001,908,3.16,.907,0,0,2,1766.9,0,0,0,83,796,1540,12,7,3,.906,3.23,44.4%,8,10,112,227,2.64,.918,2.3,186,2.3,29.5,-2.3,-1.3,-0.4,-4.0,-7.7,5.1,-7.7,840,768,.914,138,122,.884,23,18,.783,5,9,0,1.000,1,0,3,0,1,1,5,2,2,1,8,2,.750,408,18,248,21,252,54,.917,8.49%,2.37,-.008,,,
Nov 03 '82,Kempele,,FIN,77,204,L,,2004,8,258,32,Pekka,Rinne,NSH,NSH,64,64,41,17,6,1807,1667,2.18,.923,0,1,8,3850.8,4,2,1,140,1667,3852,43,7,1,.923,2.18,67.2%,0,0,0,0,0.00,.000,7,186,7,64.2,19.4,0.9,0.4,20.8,7.1,12.6,13.0,1532,1428,.932,232,200,.862,43,39,.907,17,31,2,.935,4,2,21,4,0,2,4,3,4,4,25,7,.720,884,24,412,37,371,79,.924,8.54%,2.97,.008,8,Knee,683
May 22 '87,Pori,,FIN,77,210,L,,,,,27,Jussi,Rynnas,DAL,DAL,2,1,0,1,0,44,37,4.54,.841,0,0,0,92.4,0,0,0,5,24,60,0,1,0,.828,5.00,0.0%,1,2,13,32,3.75,.867,0.562,14,0.042,1.5,-2.5,0.0,0.0,-2.5,-2.5,-0.1,-3.0,36,31,.861,4,3,.750,4,3,.750,0,0,0,,,,,,,,,,,,,,,18,1,7,2,12,4,.859,8.97%,2.00,-.069,,,
Mar 18 '86,Marblehead,MA,USA,74,205,L,,2004,1,26,28,Cory,Schneider,NJD,NJD,69,68,26,31,9,1982,1834,2.26,.925,0,2,0,3923.9,5,3,2,147,1820,3900,41,7,8,.925,2.26,60.3%,1,1,14,24,2.50,.933,4,186,4,65.4,27.1,-0.6,-0.5,26.0,18.7,14.5,29.9,1602,1494,.933,332,296,.892,48,44,.917,13,33,5,.848,3,3,15,4,0,1,3,2,3,4,18,6,.667,837,24,503,38,494,86,.933,8.50%,2.10,.010,,,
Sep 11 '86,Spruce Grove,AB,CAN,74,181,L,,,,,28,Ben,Scrivens,EDM,EDM,57,53,15,26,11,1542,1372,3.16,.890,0,1,4,3227.6,1,1,0,166,1315,3058,21,13,4,.888,3.26,39.6%,4,4,57,170,1.41,.934,2.3,186,2.3,53.8,-26.8,0.6,2.1,-24.0,-27.7,4.6,-23.7,1310,1175,.897,205,174,.849,27,23,.852,14,38,6,.842,2,2,27,5,0,3,11,4,2,5,38,9,.763,602,37,404,44,366,89,.899,8.59%,2.45,-.024,4,Hamstring,112
Jun 15 '94,Abbotsford,BC,CAN,75,191,L,Y,2013,6,170,20,Mackenzie,Skapski,NYR,NYR,2,2,2,0,0,45,44,0.50,.978,0,0,0,119.1,1,0,0,1,44,119,2,0,0,.978,0.50,100.0%,0,0,0,0,0.00,.000,0.8,49,0.211,2,2.6,0.1,0.0,2.8,2.7,0.6,3.2,35,34,.971,8,8,1.000,2,2,1.000,0,0,0,,,,,,,,,,,,,,,19,0,11,0,14,1,.984,7.53%,2.50,.053,,,
Mar 22 '82,Kingston,ON,CAN,76,215,L,,2001,5,161,32,Mike,Smith,ARI,ARI,62,61,14,42,5,1955,1768,3.16,.904,0,1,10,3555.8,0,0,0,186,1760,3534,29,12,6,.904,3.16,47.5%,1,1,8,22,2.73,.889,5.667,186,5.667,59.3,-8.2,-2.1,0.1,-10.2,-21.1,9.3,-12.9,1564,1426,.912,339,294,.867,52,48,.923,11,27,2,.926,1,1,5,1,2,2,12,4,3,3,17,5,.706,815,31,482,40,471,116,.915,8.58%,1.90,-.010,,,
Jul 28 '87,St. Paul,MN,USA,72,190,L,,2005,4,112,27,Alex,Stalock,SJS,SJS,22,19,8,9,2,553,499,2.62,.902,0,0,2,1236.5,2,0,0,49,477,1149,10,1,0,.907,2.56,52.6%,3,5,22,88,3.41,.815,1.6,186,1.6,20.6,-3.5,0.6,-1.2,-4.1,-6.3,2.5,-2.5,476,435,.914,64,52,.813,13,12,.923,4,8,0,1.000,0,0,0,0,1,2,12,5,1,2,12,5,.583,218,4,147,13,134,37,.919,8.71%,2.37,-.011,7,Lower body,137
Dec 21 '93,Toronto,ON,CAN,74,200,L,Y,2012,1,24,21,Malcolm,Subban,BOS,BOS,1,1,0,1,0,6,3,5.76,.500,0,0,0,31.3,0,0,0,,,,,,,.000,0.00,0.0%,0,3,3,31,5.81,.500,1.463,16,0.126,0.5,-2.0,0.1,0.0,-1.9,-2.1,-0.3,-2.7,6,3,.500,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,1,2,2,1,0,0,,,,-.500,,,
Sep 04 '89,Sollentuna,,SWE,72,176,L,Y,,,,25,Niklas,Svedberg,BOS,BOS,18,14,7,5,1,425,390,2.33,.918,0,0,0,900.2,2,1,0,30,351,782,9,2,2,.921,2.30,64.3%,4,5,39,118,2.54,.886,0.6,186,0.6,15,2.9,0.2,1.5,4.6,4.5,2.7,4.5,351,325,.926,69,61,.884,5,4,.800,5,7,0,1.000,0,1,2,1,1,0,7,0,1,1,9,1,.889,163,5,116,8,111,22,.929,8.56%,2.50,.003,,,
Jul 05 '87,Caledonia,ON,CAN,75,195,L,,,,,27,Cam,Talbot,NYR,NYR,36,34,21,9,4,1038,961,2.21,.926,0,0,0,2095.0,5,1,1,77,937,2052,18,2,0,.924,2.25,52.9%,2,0,24,43,0.00,1.000,0.562,186,0.562,34.9,13.8,0.0,-1.5,12.3,12.3,7.6,7.0,909,846,.931,105,93,.886,24,22,.917,7,11,2,.818,1,2,8,5,1,0,3,0,2,2,11,5,.545,485,18,227,16,249,43,.930,8.38%,2.97,.010,,,
Sep 16 '89,Watson,SK,CAN,71,195,L,Y,2008,5,122,25,Dustin,Tokarski,MTL,MTL,17,16,6,6,4,509,463,2.75,.910,0,1,0,1005.0,0,0,0,43,448,987,8,1,0,.912,2.61,50.0%,1,3,15,18,10.00,.833,0.562,186,0.562,16.8,0.1,-0.2,-1.9,-2.0,-2.0,2.7,-1.0,420,382,.910,78,70,.897,11,11,1.000,7,19,1,.947,0,1,5,1,3,2,18,8,3,3,23,9,.609,227,5,133,10,103,31,.916,8.28%,2.31,-.008,,,
Apr 27 '88,Samara,,RUS,74,209,L,,2006,1,23,26,Semyon,Varlamov,COL,COL,57,57,28,20,8,1791,1650,2.56,.921,0,0,4,3306.8,5,0,0,141,1650,3307,33,6,6,.921,2.56,57.9%,0,0,0,0,0.00,.000,5.9,186,5.9,55.1,16.7,-1.5,-0.1,15.1,3.7,12.2,15.2,1496,1371,.916,259,244,.942,36,35,.972,15,34,5,.853,3,1,10,3,3,2,23,7,6,3,33,10,.697,758,23,452,35,440,83,.929,8.69%,2.68,.008,16,Groin,216
Jul 25 '94,Tyumen,,RUS,75,207,L,Y,2012,1,19,20,Andrei,Vasilevskiy,TBL,TBL,16,13,7,5,1,415,381,2.36,.918,0,0,0,864.1,1,0,0,33,345,775,7,1,0,.913,2.55,53.8%,3,1,36,89,0.67,.973,1.475,80,0.634,14.4,3.1,0.1,0.0,3.2,2.4,2.7,3.9,348,320,.920,56,50,.893,11,11,1.000,1,2,1,.500,,,,,,,,,,,,,,150,8,120,14,111,12,.925,8.52%,3.08,.003,,,
Feb 29 '84,Saskatoon,SK,CAN,73,185,L,,2002,1,25,30,Cam,Ward,CAR,CAR,51,50,22,24,5,1351,1230,2.40,.910,0,0,4,3025.7,1,0,0,121,1201,2964,28,7,2,.908,2.45,56.0%,1,0,29,62,0.00,1.000,6.3,186,6.3,50.4,-0.6,1.7,0.2,1.2,-11.0,7.4,-6.2,1166,1066,.914,154,136,.883,31,28,.903,8,15,0,1.000,1,4,18,6,1,1,6,1,2,5,24,7,.708,596,16,338,30,296,75,.918,8.59%,2.52,-.004,1,Lower body,77
Jun 09 '87,Detroit,MI,USA,74,179,L,,2006,3,74,27,Jeff,Zatkoff,PIT,PIT,1,0,0,1,0,17,16,1.63,.941,0,0,0,36.8,0,0,0,,,,,,,.000,0.00,0.0%,1,1,16,37,1.62,.941,0.6,7,0.023,0.6,0.5,0.0,0.0,0.5,0.5,0.2,0.0,16,15,.938,1,1,1.000,0,0,,0,0,0,,,,,,,,,,,,,,,5,0,8,1,3,0,.974,10.22%,,.043,,,
Sep 07 '81,Scarborough,ON,CAN,74,198,L,,2001,4,110,33,Rob,Zepp,PHI,PHI,10,9,5,2,0,223,198,2.89,.888,0,0,0,519.0,0,0,0,24,189,481,3,2,2,.887,2.99,33.3%,1,1,9,38,1.58,.900,0.6,40,0.129,8.7,-3.9,0.3,0.5,-3.0,-3.0,0.6,0.0,179,160,.894,35,30,.857,9,8,.889,2,5,0,1.000,1,0,2,0,0,0,0,0,1,0,2,0,1.000,101,4,42,8,55,13,.896,8.56%,3.11,-.027,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
